person_id,person_sex,person_age,residence_type,residence_original_pattern,residence_geo_unit,venue_name,venue_type,employee_count,industry_code,sizeband
18757,female,25,household,0 0 1 0,E00062058,comp_11019,company,1,F,0-4
18758,female,25,household,0 0 2 0,E00062058,comp_10853,company,317,P,250+
18759,female,25,household,>=2 >=0 2 0,E00062061,comp_10894,company,5,Q,5-9
18760,female,25,household,0 0 1 0,E00062061,comp_11056,company,4,G,0-4
18761,female,25,household,0 0 1 0,E00062067,comp_10588,company,4,A,0-4
18762,female,25,household,0 0 1 0,E00062068,comp_14054,company,81,F,50-294
18763,female,25,household,0 0 1 0,E00062069,comp_10647,company,4,M,0-4
18764,female,25,household,0 0 1 0,E00062069,comp_10573,company,444,C,250+
18765,female,25,household,0 0 2 0,E00062069,comp_10667,company,4,M,0-4
18766,female,25,household,1 >=0 2 0,E00062070,comp_11025,company,4,G,0-4
18767,female,25,household,0 0 1 0,E00062070,comp_10601,company,4,J,0-4
18768,female,25,household,0 0 2 0,E00062070,comp_10682,company,4,M,0-4
18769,female,25,household,0 0 1 0,E00062309,comp_10633,company,4,L,0-4
18770,female,25,household,>=2 >=0 2 0,E00062310,comp_10623,company,4,K,0-4
18771,female,25,household,0 0 2 0,E00062310,comp_10607,company,4,J,0-4
18772,female,25,household,0 0 2 0,E00062311,comp_11146,company,4,I,0-4
18773,female,25,household,0 0 1 0,E00062311,comp_11068,company,4,G,0-4
18774,female,25,household,0 0 1 0,E00062312,comp_10801,company,4,O,0-4
18775,female,25,household,0 0 1 0,E00062312,comp_10618,company,10,K,10-19
18776,female,25,household,1 >=0 1 0,E00062313,comp_11176,company,4,I,0-4
18777,female,25,household,0 0 2 0,E00062313,comp_10762,company,4,O,0-4
18778,female,25,household,0 0 2 0,E00062314,comp_10552,company,203,M,50-294
18779,female,25,household,0 0 2 0,E00062314,comp_10617,company,10,K,10-19
18780,female,25,household,0 0 2 0,E00062315,comp_10672,company,4,M,0-4
18781,female,25,household,0 >=0 >=0 >=0,E00062315,comp_10552,company,203,M,50-294
18782,female,25,household,0 0 1 0,E00062315,comp_10936,company,4,Other,0-4
18783,female,25,household,1 >=0 2 0,E00062315,comp_10856,company,20,P,20-49
18784,female,25,household,0 0 1 0,E00062316,comp_11126,company,4,I,0-4
18785,female,25,household,>=2 >=0 2 0,E00062316,comp_10573,company,444,C,250+
18786,female,25,household,1 >=0 1 0,E00062316,comp_10581,company,338,G,250+
18787,female,25,household,0 0 1 0,E00062317,comp_11186,company,4,I,0-4
18788,female,25,household,0 0 2 0,E00062317,comp_11058,company,4,G,0-4
18789,female,25,household,0 0 1 0,E00062318,comp_14146,company,5,J,5-9
18790,female,25,household,0 0 2 0,E00062318,comp_10558,company,385,P,250+
18791,female,25,household,0 0 2 0,E00062318,comp_10581,company,338,G,250+
18792,female,25,household,0 0 1 0,E00062319,comp_10947,company,4,Other,0-4
18793,female,25,household,0 0 1 0,E00062319,comp_13925,company,4,N,0-4
18794,female,25,household,1 >=0 2 0,E00062320,comp_10925,company,4,Other,0-4
18795,female,25,household,0 0 2 0,E00062321,comp_11153,company,4,I,0-4
18796,female,25,household,0 0 1 0,E00062321,comp_10580,company,341,F,250+
18797,female,25,household,>=2 >=0 1 0,E00062321,comp_10562,company,20,Q,20-49
18798,female,25,household,0 0 1 0,E00062322,comp_10573,company,444,C,250+
18799,female,25,household,>=2 >=0 2 0,E00062322,comp_10659,company,4,M,0-4
18800,female,25,household,0 0 2 0,E00062322,comp_10580,company,341,F,250+
18801,female,25,household,0 0 2 0,E00062323,comp_11046,company,4,G,0-4
18802,female,25,household,0 0 1 0,E00062323,comp_10573,company,444,C,250+
18803,female,25,household,0 0 1 0,E00062324,comp_10555,company,253,N,250+
18804,female,25,household,0 >=0 >=0 >=0,E00062324,comp_13876,company,74,J,50-294
18805,female,25,household,0 0 1 0,E00062358,comp_11009,company,283,F,250+
18806,female,25,household,0 0 1 0,E00062358,comp_14407,company,5,Other,5-9
18807,female,25,household,>=2 >=0 1 0,E00062358,comp_10565,company,10,Q,10-19
18808,female,25,household,0 0 2 0,E00062359,comp_10551,company,42,L,20-49
18809,female,25,household,0 0 2 0,E00062359,comp_10610,company,4,J,0-4
18810,female,25,household,0 0 2 0,E00062362,comp_14367,company,88,P,50-294
18811,female,25,household,0 0 2 0,E00062363,comp_10581,company,338,G,250+
18812,female,25,household,0 0 2 0,E00062363,comp_14506,company,4,G,0-4
18813,female,25,household,0 0 1 0,E00062364,comp_11059,company,4,G,0-4
18814,female,25,household,0 0 2 0,E00062364,comp_10552,company,203,M,50-294
18815,female,25,household,0 0 1 0,E00062365,comp_10959,company,391,C,250+
18816,female,25,household,0 0 2 0,E00062365,comp_10624,company,4,K,0-4
18817,female,25,household,0 0 1 0,E00062365,comp_14377,company,203,Q,50-294
18818,female,25,household,0 0 1 0,E00062365,comp_14184,company,4,M,0-4
18819,female,25,household,0 0 2 0,E00062366,comp_10580,company,341,F,250+
18820,female,25,household,0 0 2 0,E00062367,comp_11160,company,4,I,0-4
18821,female,25,household,0 0 1 0,E00062367,comp_10853,company,317,P,250+
18822,female,25,household,>=2 >=0 2 0,E00062367,comp_10634,company,4,L,0-4
18823,female,25,household,0 0 1 0,E00062368,comp_11053,company,4,G,0-4
18824,female,25,household,1 >=0 2 0,E00062368,comp_10551,company,42,L,20-49
18825,female,25,household,0 0 2 0,E00062369,comp_14162,company,49,M,20-49
18826,female,25,household,0 0 2 0,E00062369,comp_10679,company,4,M,0-4
18827,female,25,household,0 0 1 0,E00062370,comp_10871,company,20,Q,20-49
18828,female,25,household,0 0 1 0,E00062371,comp_10572,company,7,B,5-9
18829,female,25,household,0 0 2 0,E00062372,comp_11088,company,4,G,0-4
18830,female,25,household,0 0 2 0,E00062372,comp_11062,company,4,G,0-4
18831,female,25,household,0 0 1 0,E00062373,comp_10645,company,4,M,0-4
18832,female,25,household,0 0 1 0,E00062374,comp_14471,company,5,F,5-9
18833,female,25,household,1 >=0 1 0,E00062375,comp_10620,company,5,K,5-9
18834,female,25,household,1 >=0 2 0,E00062375,comp_10701,company,4,N,0-4
18835,female,25,household,0 0 1 0,E00062376,comp_10573,company,444,C,250+
18837,female,25,household,0 0 1 0,E00062377,comp_10581,company,338,G,250+
18838,female,25,household,0 0 1 0,E00062377,comp_10580,company,341,F,250+
18839,female,25,household,0 >=0 >=0 >=0,E00062378,comp_10552,company,203,M,50-294
18840,female,25,household,0 0 1 0,E00104959,comp_14206,company,4,N,0-4
18841,female,25,household,>=2 >=0 2 0,E00104960,comp_14427,company,95,C,50-294
18842,female,25,household,0 0 2 0,E00104961,comp_14163,company,49,M,20-49
18843,female,25,household,0 0 1 0,E00104961,comp_14376,company,204,Q,50-294
18844,female,25,household,0 0 1 0,E00104961,comp_11072,company,4,G,0-4
18845,female,25,household,>=2 >=0 2 0,E00104962,comp_14042,company,52,C,50-294
18846,female,25,household,0 0 2 0,E00104962,comp_14009,company,4,Q,0-4
18847,female,25,household,0 0 1 0,E00104963,comp_14412,company,5,Other,5-9
18848,female,25,household,0 0 1 0,E00104963,comp_14156,company,75,L,50-294
18849,female,25,household,0 0 2 0,E00104966,comp_13953,company,4,O,0-4
18850,female,25,household,0 0 1 0,E00104966,comp_14142,company,117,J,50-294
