household_id,geo_unit,original_pattern,actual_composition,household_size,num_kids,num_young_adults,num_adults,num_old_adults,residents
0,E00013391,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_1588(age=17,sex=male); Person_4569(age=33,sex=female); Person_6110(age=46,sex=male)"
1,E00013391,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_793(age=9,sex=male); Person_6464(age=51,sex=female); Person_7512(age=61,sex=male)"
2,E00013391,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_923(age=11,sex=female); Person_7232(age=57,sex=male); Person_6962(age=56,sex=female)"
3,E00013391,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_451(age=5,sex=male); Person_3069(age=26,sex=female); Person_4253(age=31,sex=male)"
4,E00013391,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_1034(age=11,sex=male); Person_5509(age=41,sex=female); Person_6259(age=47,sex=male)"
5,E00013391,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_142(age=2,sex=female); Person_590(age=7,sex=male); Person_6111(age=46,sex=male); Person_3419(age=27,sex=female)"
6,E00013391,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_1444(age=16,sex=female); Person_67(age=1,sex=male); Person_5745(age=42,sex=female); Person_6741(age=52,sex=male)"
7,E00013391,>=2 >=0 2 0,"Kids: 2, Young Adults: 0, Adults: 2, Old Adults: 0",4,2,0,2,0,"Person_263(age=3,sex=male); Person_68(age=1,sex=male); Person_3068(age=26,sex=female); Person_5377(age=39,sex=male)"
8,E00013392,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_1145(age=12,sex=female); Person_3930(age=30,sex=female); Person_5041(age=36,sex=male)"
9,E00013392,1 >=0 2 0,"Kids: 1, Young Adults: 0, Adults: 2, Old Adults: 0",3,1,0,2,0,"Person_926(age=11,sex=female); Person_5039(age=36,sex=male); Person_3768(age=29,sex=female)"
