         16595716 function calls (16555956 primitive calls) in 4.772 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003    3.960    3.960 /home/gavin/Documents/MAY/june_zero/create_world_households.py:219(main)
     1058    0.110    0.000    2.397    0.002 /home/gavin/Documents/MAY/june_zero/may/distributor/distributor_pop_to_venue.py:83(assign_people_venues)
      425    0.007    0.000    1.900    0.004 /home/gavin/Documents/MAY/june_zero/may/distributor/distribute_pop_to_venue_multipass.py:143(assign_people_venues_multi_pass)
   129514    0.593    0.000    1.798    0.000 /home/gavin/Documents/MAY/june_zero/may/distributor/distributor_pop_to_venue.py:139(find_venues_for_person)
   189165    0.280    0.000    0.826    0.000 /home/gavin/Documents/MAY/june_zero/world_specific_code/household_distributors/household_distributor.py:123(_update_venue_membership_capacity)
   1403/2    0.005    0.000    0.814    0.407 <frozen importlib._bootstrap>:1349(_find_and_load)
   1373/2    0.004    0.000    0.814    0.407 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   1332/2    0.003    0.000    0.814    0.407 <frozen importlib._bootstrap>:911(_load_unlocked)
   1145/2    0.002    0.000    0.814    0.407 <frozen importlib._bootstrap_external>:1021(exec_module)
   3259/4    0.002    0.000    0.814    0.203 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   1403/2    0.022    0.000    0.814    0.407 {built-in method builtins.exec}
        1    0.000    0.000    0.813    0.813 /home/gavin/Documents/MAY/june_zero/create_world_households.py:1(<module>)
 1609/484    0.002    0.000    0.673    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
  713/167    0.001    0.000    0.499    0.003 {built-in method builtins.__import__}
        1    0.042    0.042    0.455    0.455 /home/gavin/Documents/MAY/june_zero/may/population/population.py:43(load_demographics_from_csv)
15138/10036    0.003    0.000    0.427    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.423    0.423 /home/gavin/Documents/MAY/june_zero/world_specific_code/household_distributors/__init__.py:1(<module>)
        1    0.000    0.000    0.423    0.423 /home/gavin/Documents/MAY/june_zero/world_specific_code/household_distributors/household_distributor.py:1(<module>)
        1    0.000    0.000    0.422    0.422 /home/gavin/Documents/MAY/june_zero/may/distributor/__init__.py:1(<module>)
     37/6    0.000    0.000    0.422    0.070 /home/gavin/.conda/envs/claude/lib/python3.13/importlib/__init__.py:71(import_module)
     37/6    0.000    0.000    0.422    0.070 <frozen importlib._bootstrap>:1375(_gcd_import)
        1    0.000    0.000    0.421    0.421 /home/gavin/Documents/MAY/june_zero/may/distributor/distribute_pop_to_venue_multipass.py:1(<module>)
        1    0.000    0.000    0.421    0.421 /home/gavin/Documents/MAY/june_zero/may/stats/__init__.py:1(<module>)
   282463    0.187    0.000    0.420    0.000 /home/gavin/Documents/MAY/june_zero/may/geography/venue.py:75(num_members)
        1    0.000    0.000    0.420    0.420 /home/gavin/Documents/MAY/june_zero/may/stats/statmaker.py:1(<module>)
     32/1    0.000    0.000    0.420    0.420 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/__init__.py:129(__getattr__)
        1    0.000    0.000    0.420    0.420 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/__init__.py:1(<module>)
        8    0.000    0.000    0.401    0.050 /home/gavin/Documents/MAY/june_zero/may/geography/venue_manager.py:112(load_venue_type_from_csv)
        1    0.074    0.074    0.386    0.386 /home/gavin/Documents/MAY/june_zero/world_specific_code/household_distributors/household_manager.py:24(load_venue_type_from_df)
   123242    0.100    0.000    0.369    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/series.py:1107(__getitem__)
   163400    0.236    0.000    0.360    0.000 /home/gavin/Documents/MAY/june_zero/world_specific_code/care_home_distributor/care_home_subset_distributor.py:23(find_subset_for_person)
        1    0.000    0.000    0.358    0.358 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_stats_py.py:1(<module>)
  1739286    0.227    0.000    0.319    0.000 /home/gavin/Documents/MAY/june_zero/may/population/subset.py:159(num_members)
        1    0.017    0.017    0.300    0.300 /home/gavin/Documents/MAY/june_zero/create_world_households.py:57(print_world_examples)
        1    0.119    0.119    0.265    0.265 /home/gavin/Documents/MAY/june_zero/may/population/population.py:130(generate_population)
4016226/4009333    0.230    0.000    0.232    0.000 {built-in method builtins.len}
   145850    0.217    0.000    0.217    0.000 /home/gavin/Documents/MAY/june_zero/may/population/subset.py:14(__init__)
        1    0.000    0.000    0.164    0.164 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/__init__.py:1(<module>)
   802795    0.155    0.000    0.155    0.000 /home/gavin/Documents/MAY/june_zero/world_specific_code/household_distributors/household_subset_distributor.py:6(find_subset_for_person)
   123242    0.061    0.000    0.151    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/series.py:1232(_get_value)
        1    0.000    0.000    0.151    0.151 /home/gavin/Documents/MAY/june_zero/may/config_loader.py:1(<module>)
        1    0.000    0.000    0.149    0.149 /home/gavin/Documents/MAY/june_zero/may/geography/__init__.py:1(<module>)
        1    0.000    0.000    0.147    0.147 /home/gavin/Documents/MAY/june_zero/may/geography/venue.py:1(<module>)
        1    0.000    0.000    0.147    0.147 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/__init__.py:1(<module>)
     1145    0.006    0.000    0.143    0.000 <frozen importlib._bootstrap_external>:1094(get_code)
      210    0.000    0.000    0.124    0.001 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/_docscrape.py:579(__init__)
  1632505    0.123    0.000    0.123    0.000 /home/gavin/Documents/MAY/june_zero/world_specific_code/care_home_distributor/care_home_subset_distributor.py:20(person_in_age_range)
      216    0.001    0.000    0.111    0.001 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/_docscrape.py:140(__init__)
        1    0.000    0.000    0.110    0.110 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/api.py:1(<module>)
    95231    0.099    0.000    0.099    0.000 /home/gavin/Documents/MAY/june_zero/may/population/person.py:36(__init__)
