person_id,person_sex,person_age,residence_type,residence_original_pattern,residence_geo_unit,venue_name,venue_type,Gender,NumberOfBoys,NumberOfGirls,NumberOfPupils,SchoolCapacity,StatutoryHighAge,StatutoryLowAge,is_residence
427,female,2,household,>=2 >=0 1 0,E00062061,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
428,female,2,household,>=2 >=0 2 0,E00062061,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
429,female,2,household,1 >=0 1 0,E00062066,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
430,female,2,household,1 >=0 1 0,E00062066,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
431,female,2,household,>=2 >=0 2 0,E00062066,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
432,female,2,household,>=2 >=0 2 0,E00062066,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
437,female,2,household,>=2 >=0 2 0,E00062069,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
438,female,2,household,>=2 >=0 2 0,E00062069,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
439,female,2,household,1 >=0 2 0,E00062069,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
440,female,2,household,1 >=0 2 0,E00062070,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
441,female,2,household,>=2 >=0 1 0,E00062070,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
442,female,2,household,>=2 >=0 2 0,E00062070,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
443,female,2,household,1 >=0 1 0,E00062070,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
444,female,2,household,1 >=0 1 0,E00062309,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
445,female,2,household,>=2 >=0 1 0,E00062309,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
446,female,2,household,>=2 >=0 2 0,E00062309,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
452,female,2,household,>=2 >=0 2 0,E00062311,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
453,female,2,household,>=2 >=0 2 0,E00062311,Langley Moor Nursery School,school,Mixed,30.0,30.0,60.0,60.0,5.0,2.0,False
454,female,2,household,>=2 >=0 2 0,E00062311,George Dent Nursery School,school,Mixed,50.0,55.0,105.0,105.0,5.0,2.0,False
455,female,2,household,>=2 >=0 2 0,E00062311,Borough Road Nursery School,school,Mixed,49.0,48.0,97.0,97.0,5.0,2.0,False
