person_id,person_sex,person_age,residence_type,residence_original_pattern,residence_geo_unit,venue_name,venue_type,is_residence,n_students
4918,female,18,student_dorms,,E00105048,Durham University,university,False,19025
4962,female,18,student_dorms,,E00105051,Durham University,university,False,19025
4974,female,18,student_dorms,,E00105051,Durham University,university,False,19025
5001,female,18,student_dorms,,E00105054,Durham University,university,False,19025
5004,female,18,student_dorms,,E00105055,Durham University,university,False,19025
5005,female,18,student_dorms,,E00105055,Durham University,university,False,19025
5009,female,18,student_dorms,,E00105055,Durham University,university,False,19025
5018,female,18,student_dorms,,E00105055,Durham University,university,False,19025
5020,female,18,student_dorms,,E00105055,Durham University,university,False,19025
5045,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5046,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5047,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5049,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5050,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5051,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5052,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5053,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5054,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5055,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5056,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5057,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5058,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5059,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5060,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5061,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5062,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5063,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5064,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5065,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5066,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5067,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5068,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5069,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5070,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5071,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5072,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5073,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5074,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5075,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5076,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5077,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5078,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5079,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5080,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5081,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5082,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5083,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5084,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5086,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5087,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5088,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5089,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5090,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5091,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5092,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5093,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5094,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5095,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5096,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5097,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5098,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5099,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5100,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5101,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5102,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5103,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5104,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5105,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5106,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5107,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5108,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5109,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5110,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5111,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5113,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5114,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5115,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5116,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5117,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5118,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5119,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5120,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5121,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5122,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5123,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5124,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5125,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5126,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5127,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5128,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5129,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5130,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5131,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5132,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5133,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5134,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5135,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5136,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5137,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5138,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5139,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5140,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5141,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5142,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5143,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5144,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5145,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5146,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5147,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5148,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5149,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5150,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5151,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5152,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5153,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5154,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5155,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5156,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5157,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5159,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5160,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5161,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5162,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5163,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5164,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5165,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5166,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5167,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5169,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5170,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5171,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5172,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5173,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5174,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5175,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5176,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5177,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5178,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5179,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5180,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5182,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5183,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5184,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5185,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5186,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5187,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5188,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5189,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5190,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5191,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5192,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5193,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5194,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5195,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5196,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5197,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5198,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5199,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5200,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5201,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5202,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5203,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5204,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5206,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5207,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5208,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5209,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5210,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5211,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5212,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5213,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5214,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5215,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5216,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5217,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5218,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5219,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5220,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5221,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5222,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5223,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5224,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5225,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5226,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5227,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5228,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5229,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5230,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5231,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5232,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5233,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5234,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5235,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5236,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5237,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5238,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5239,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5241,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5242,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5243,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5244,female,18,student_dorms,,E00105080,Durham University,university,False,19025
5245,female,18,student_dorms,,E00105080,Durham University,university,False,19025
