venue_id,venue_name,venue_type,geographical_unit,geographical_level,capacity,people_allocated,utilization_pct,latitude,longitude
0,Durham Cathedral Schools Foundation,boarding_school,E00105055,SGU,54,23,42.6,,
2,Melbury Court Care Home,care_home,E00171870,SGU,88,50,56.8,,
0,St Margaret's Care Home,care_home,E00105051,SGU,60,44,73.3,,
1,Moorlands,care_home,E00062067,SGU,19,14,73.7,,
34,comp_10581,company,E02007058,MGU,338,338,100.0,,
306,comp_10853,company,E02007058,MGU,317,251,79.2,,
8,comp_10555,company,E02007058,MGU,253,247,97.6,,
11,comp_10558,company,E02007058,MGU,385,242,62.9,,
412,comp_10959,company,E02007058,MGU,391,228,58.3,,
26,comp_10573,company,E02007058,MGU,444,227,51.1,,
5,comp_10552,company,E02007058,MGU,203,203,100.0,,
462,comp_11009,company,E02007058,MGU,283,192,67.8,,
33,comp_10580,company,E02007058,MGU,341,183,53.7,,
1172,comp_14375,company,E02004315,MGU,204,180,88.2,,
1173,comp_14376,company,E02004315,MGU,204,175,85.8,,
1174,comp_14377,company,E02004315,MGU,203,175,86.2,,
1161,comp_14364,company,E02004315,MGU,999,155,15.5,,
1200,comp_14403,company,E02004315,MGU,144,141,97.9,,
36,comp_10583,company,E02007058,MGU,350,132,37.7,,
1265,comp_14468,company,E02004315,MGU,130,130,100.0,,
559,comp_11106,company,E02007058,MGU,320,124,38.8,,
939,comp_14142,company,E02004315,MGU,117,117,100.0,,
951,comp_14154,company,E02004315,MGU,105,105,100.0,,
1223,comp_14426,company,E02004315,MGU,95,95,100.0,,
1224,comp_14427,company,E02004315,MGU,95,95,100.0,,
1225,comp_14428,company,E02004315,MGU,95,95,100.0,,
1162,comp_14365,company,E02004315,MGU,89,89,100.0,,
1163,comp_14366,company,E02004315,MGU,89,89,100.0,,
1164,comp_14367,company,E02004315,MGU,88,88,100.0,,
851,comp_14054,company,E02004314,MGU,81,81,100.0,,
953,comp_14156,company,E02004315,MGU,75,75,100.0,,
673,comp_13876,company,E02004314,MGU,74,74,100.0,,
312,comp_10859,company,E02007058,MGU,148,61,41.2,,
313,comp_10860,company,E02007058,MGU,148,57,38.5,,
314,comp_10861,company,E02007058,MGU,148,57,38.5,,
12,comp_10559,company,E02007058,MGU,874,56,6.4,,
839,comp_14042,company,E02004314,MGU,52,52,100.0,,
45,comp_10592,company,E02007058,MGU,49,49,100.0,,
754,comp_13957,company,E02004314,MGU,200,49,24.5,,
959,comp_14162,company,E02004315,MGU,49,49,100.0,,
960,comp_14163,company,E02004315,MGU,49,49,100.0,,
961,comp_14164,company,E02004315,MGU,49,49,100.0,,
38,comp_10585,company,E02007058,MGU,406,45,11.1,,
43,comp_10590,company,E02007058,MGU,49,45,91.8,,
44,comp_10591,company,E02007058,MGU,49,45,91.8,,
755,comp_13958,company,E02004314,MGU,200,45,22.5,,
1,comp_10548,company,E02007058,MGU,236,44,18.6,,
4,comp_10551,company,E02007058,MGU,42,42,100.0,,
3,comp_10550,company,E02007058,MGU,173,41,23.7,,
756,comp_13959,company,E02004314,MGU,199,39,19.6,,
1313,comp_14516,company,E02004315,MGU,36,36,100.0,,
1314,comp_14517,company,E02004315,MGU,36,36,100.0,,
1315,comp_14518,company,E02004315,MGU,36,36,100.0,,
66,comp_10613,company,E02007058,MGU,34,34,100.0,,
1308,comp_14511,company,E02004315,MGU,34,34,100.0,,
1309,comp_14512,company,E02004315,MGU,34,34,100.0,,
67,comp_10614,company,E02007058,MGU,33,33,100.0,,
68,comp_10615,company,E02007058,MGU,33,33,100.0,,
1310,comp_14513,company,E02004315,MGU,33,33,100.0,,
20,comp_10567,company,E02007058,MGU,173,24,13.9,,
874,comp_14077,company,E02004314,MGU,23,23,100.0,,
13,comp_10560,company,E02007058,MGU,20,20,100.0,,
14,comp_10561,company,E02007058,MGU,20,20,100.0,,
15,comp_10562,company,E02007058,MGU,20,20,100.0,,
307,comp_10854,company,E02007058,MGU,20,20,100.0,,
308,comp_10855,company,E02007058,MGU,20,20,100.0,,
309,comp_10856,company,E02007058,MGU,20,20,100.0,,
315,comp_10862,company,E02007058,MGU,20,20,100.0,,
316,comp_10863,company,E02007058,MGU,20,20,100.0,,
317,comp_10864,company,E02007058,MGU,20,20,100.0,,
318,comp_10865,company,E02007058,MGU,20,20,100.0,,
319,comp_10866,company,E02007058,MGU,20,20,100.0,,
320,comp_10867,company,E02007058,MGU,20,20,100.0,,
321,comp_10868,company,E02007058,MGU,20,20,100.0,,
322,comp_10869,company,E02007058,MGU,20,20,100.0,,
323,comp_10870,company,E02007058,MGU,20,20,100.0,,
324,comp_10871,company,E02007058,MGU,20,20,100.0,,
