geo_unit,Adults with children,Adults only
TEMP000001,20.0,18.0
TEMP000002,18.0,23.0
TEMP000003,21.0,16.0
TEMP000004,20.0,19.0
TEMP000005,20.0,20.0
TEMP000006,17.0,25.0
TEMP000007,21.0,17.0
TEMP000008,21.0,17.0
TEMP000009,20.0,18.0
TEMP000010,19.0,21.0
TEMP000011,20.0,19.0
TEMP000012,21.0,16.0
TEMP000013,20.0,19.0
TEMP000014,19.0,21.0
TEMP000015,18.0,23.0
TEMP000016,20.0,20.0
TEMP000017,22.0,14.0
TEMP000018,21.0,17.0
TEMP000019,22.0,15.0
TEMP000020,20.0,19.0
TEMP000021,18.0,24.0
TEMP000022,18.0,24.0
TEMP000023,20.0,19.0
TEMP000024,19.0,21.0
TEMP000025,17.0,26.0
TEMP000026,17.0,21.0
TEMP000027,18.0,24.0
TEMP000028,18.0,24.0
TEMP000029,20.0,20.0
TEMP000030,20.0,19.0
TEMP000031,22.0,15.0
TEMP000032,20.0,19.0
TEMP000033,20.0,20.0
TEMP000034,21.0,16.0
TEMP000035,16.0,28.0
TEMP000036,19.0,21.0
TEMP000037,21.0,17.0
TEMP000038,19.0,21.0
TEMP000039,20.0,19.0
TEMP000040,21.0,17.0
TEMP000041,20.0,19.0
TEMP000042,19.0,21.0
TEMP000043,20.0,20.0
TEMP000044,20.0,15.0
TEMP000045,18.0,19.0
TEMP000046,16.0,24.0
TEMP000047,17.0,21.0
TEMP000048,21.0,12.0
TEMP000049,19.0,17.0
TEMP000050,17.0,21.0
TEMP000051,19.0,17.0
TEMP000052,17.0,21.0
TEMP000053,19.0,17.0
TEMP000054,19.0,17.0
TEMP000055,19.0,17.0
TEMP000056,16.0,23.0
TEMP000057,18.0,19.0
TEMP000058,20.0,14.0
TEMP000059,20.0,15.0
TEMP000060,19.0,17.0
TEMP000061,18.0,19.0
TEMP000062,19.0,17.0
TEMP000063,17.0,22.0
TEMP000064,17.0,21.0
TEMP000065,18.0,20.0
TEMP000066,21.0,11.0
TEMP000067,21.0,16.0
TEMP000068,20.0,15.0
TEMP000069,20.0,14.0
TEMP000070,19.0,16.0
TEMP000071,17.0,22.0
TEMP000072,19.0,17.0
TEMP000073,18.0,19.0
TEMP000074,18.0,19.0
TEMP000075,16.0,23.0
TEMP000076,20.0,15.0
TEMP000077,18.0,18.0
TEMP000078,17.0,21.0
TEMP000079,20.0,15.0
TEMP000080,17.0,22.0
TEMP000081,19.0,17.0
TEMP000082,17.0,22.0
TEMP000083,19.0,17.0
TEMP000084,17.0,21.0
TEMP000085,16.0,23.0
TEMP000086,19.0,17.0
TEMP000087,17.0,21.0
TEMP000088,19.0,17.0
TEMP000089,18.0,19.0
TEMP000090,20.0,14.0
TEMP000091,18.0,18.0
TEMP000092,21.0,12.0
TEMP000093,21.0,13.0
TEMP000094,21.0,13.0
TEMP000095,17.0,21.0
TEMP000096,16.0,24.0
TEMP000097,18.0,19.0
TEMP000098,19.0,17.0
TEMP000099,19.0,16.0
TEMP000100,19.0,17.0
TEMP000101,19.0,17.0
TEMP000102,18.0,20.0
TEMP000103,20.0,15.0
TEMP000104,20.0,14.0
TEMP000105,19.0,17.0
TEMP000106,19.0,17.0
TEMP000107,15.0,5.0
TEMP000108,11.0,15.0
TEMP000109,13.0,10.0
TEMP000110,13.0,10.0
TEMP000111,13.0,11.0
TEMP000112,14.0,8.0
TEMP000113,11.0,15.0
TEMP000114,12.0,12.0
TEMP000115,12.0,13.0
TEMP000116,14.0,8.0
TEMP000117,13.0,11.0
TEMP000118,12.0,12.0
TEMP000119,11.0,14.0
TEMP000120,12.0,13.0
TEMP000121,11.0,14.0
TEMP000122,12.0,12.0
TEMP000123,11.0,14.0
TEMP000124,13.0,11.0
TEMP000125,13.0,9.0
TEMP000126,11.0,14.0
TEMP000127,12.0,12.0
TEMP000128,12.0,12.0
TEMP000129,11.0,15.0
TEMP000130,12.0,13.0
TEMP000131,10.0,17.0
TEMP000132,10.0,18.0
TEMP000133,10.0,17.0
TEMP000134,12.0,12.0
TEMP000135,13.0,10.0
TEMP000136,13.0,10.0
TEMP000137,11.0,15.0
TEMP000138,13.0,10.0
TEMP000139,19.0,31.0
TEMP000140,13.0,10.0
TEMP000141,12.0,13.0
TEMP000142,11.0,15.0
TEMP000143,12.0,12.0
TEMP000144,11.0,14.0
TEMP000145,11.0,15.0
TEMP000146,15.0,5.0
TEMP000147,13.0,10.0
TEMP000148,13.0,10.0
TEMP000149,13.0,10.0
TEMP000150,11.0,14.0
TEMP000151,12.0,13.0
TEMP000152,13.0,11.0
TEMP000153,11.0,15.0
TEMP000154,22.0,24.0
TEMP000155,12.0,12.0
TEMP000156,12.0,12.0
TEMP000157,20.0,15.0
TEMP000158,11.0,14.0
TEMP000159,12.0,12.0
TEMP000160,13.0,10.0
TEMP000161,12.0,13.0
TEMP000162,11.0,14.0
TEMP000163,13.0,10.0
TEMP000164,12.0,13.0
TEMP000165,13.0,10.0
TEMP000166,12.0,12.0
TEMP000167,11.0,14.0
TEMP000168,12.0,12.0
TEMP000169,15.0,5.0
TEMP000170,12.0,12.0
TEMP000171,14.0,8.0
TEMP000172,11.0,14.0
TEMP000173,10.0,17.0
TEMP000174,10.0,17.0
TEMP000175,13.0,9.0
TEMP000176,12.0,12.0
TEMP000177,22.0,24.0
TEMP000178,12.0,12.0
TEMP000179,11.0,15.0
TEMP000180,12.0,12.0
TEMP000181,11.0,15.0
TEMP000182,11.0,14.0
TEMP000183,12.0,13.0
TEMP000184,13.0,11.0
TEMP000185,12.0,13.0
TEMP000186,14.0,8.0
TEMP000187,12.0,13.0
TEMP000188,13.0,10.0
TEMP000189,13.0,10.0
TEMP000190,691.0,654.0
TEMP000191,13.0,10.0
TEMP000192,12.0,12.0
TEMP000193,13.0,10.0
TEMP000194,13.0,10.0
TEMP000195,11.0,15.0
TEMP000196,11.0,14.0
TEMP000197,13.0,10.0
TEMP000198,11.0,14.0
TEMP000199,11.0,14.0
TEMP000200,12.0,12.0
TEMP000201,13.0,10.0
TEMP000202,13.0,11.0
TEMP000203,14.0,8.0
TEMP000204,12.0,13.0
TEMP000205,11.0,14.0
TEMP000206,12.0,12.0
TEMP000207,12.0,13.0
TEMP000208,12.0,13.0
TEMP000209,12.0,12.0
TEMP000210,12.0,13.0
TEMP000211,11.0,15.0
TEMP000212,12.0,12.0
TEMP000213,44.0,50.0
TEMP000214,44.0,50.0
TEMP000215,46.0,45.0
TEMP000216,48.0,41.0
TEMP000217,47.0,43.0
TEMP000218,47.0,43.0
TEMP000219,50.0,37.0
