geo_unit,Solo Adult,Adult Couple,Adult multi-house,Adult with Children,Couple with Children,Adults with Children
TEMP000001,15,9,3,2,21,3
TEMP000002,20,18,3,12,9,5
TEMP000003,13,14,5,10,15,4
TEMP000004,12,6,7,10,15,3
TEMP000005,20,14,1,10,16,1
TEMP000006,22,12,4,8,14,2
TEMP000007,16,15,4,8,15,5
TEMP000008,14,8,6,10,12,7
TEMP000009,13,16,4,14,14,1
TEMP000010,14,10,9,10,16,1
TEMP000011,18,15,4,6,19,2
TEMP000012,14,10,4,7,20,2
TEMP000013,12,12,5,5,18,4
TEMP000014,20,15,2,7,14,5
TEMP000015,11,13,6,7,17,1
TEMP000016,19,18,3,6,15,5
TEMP000017,12,10,2,8,18,4
TEMP000018,15,16,3,7,16,5
TEMP000019,16,12,3,8,19,3
TEMP000020,14,7,5,6,17,4
TEMP000021,20,7,5,3,18,3
TEMP000022,19,14,4,9,14,2
TEMP000023,17,12,8,12,13,3
TEMP000024,18,16,2,7,16,3
TEMP000025,16,13,6,7,16,1
TEMP000026,18,14,4,6,13,4
TEMP000027,17,11,4,10,11,4
TEMP000028,22,13,4,8,15,2
TEMP000029,14,12,6,9,14,4
TEMP000030,11,11,6,7,19,1
TEMP000031,12,11,5,8,18,4
TEMP000032,10,12,4,8,17,2
TEMP000033,19,9,2,6,16,4
TEMP000034,14,16,3,6,22,0
TEMP000035,21,10,6,5,14,3
TEMP000036,20,14,2,9,17,1
TEMP000037,22,11,2,8,16,4
TEMP000038,17,12,5,12,15,1
TEMP000039,17,11,4,6,18,3
TEMP000040,12,8,5,4,22,2
TEMP000041,13,13,5,7,19,1
TEMP000042,12,14,7,11,15,1
TEMP000043,16,9,4,9,18,0
TEMP000044,16,11,2,5,19,2
TEMP000045,8,10,6,3,18,3
TEMP000046,21,8,6,7,14,1
TEMP000047,22,7,4,6,13,4
TEMP000048,10,16,2,12,15,2
TEMP000049,14,13,1,9,16,1
TEMP000050,14,15,3,14,10,1
TEMP000051,13,8,5,9,15,2
TEMP000052,22,15,2,7,15,1
TEMP000053,11,14,5,10,15,1
TEMP000054,14,12,1,7,14,5
TEMP000055,13,7,6,2,21,1
TEMP000056,11,19,4,7,14,1
TEMP000057,11,6,8,4,17,3
TEMP000058,20,12,5,6,20,1
TEMP000059,10,10,6,12,14,2
TEMP000060,13,17,4,8,16,2
TEMP000061,14,8,3,6,11,7
TEMP000062,9,13,4,5,19,1
TEMP000063,11,10,5,6,14,3
TEMP000064,12,12,6,7,15,2
TEMP000065,17,12,2,11,11,3
TEMP000066,8,12,2,10,17,3
TEMP000067,12,11,6,9,18,2
TEMP000068,16,7,4,7,18,2
TEMP000069,6,10,5,8,14,5
TEMP000070,7,12,3,4,21,0
TEMP000071,12,12,5,6,16,1
TEMP000072,19,12,4,11,12,4
TEMP000073,9,11,2,7,11,7
TEMP000074,13,13,1,8,13,4
TEMP000075,14,15,3,7,12,3
TEMP000076,14,12,5,8,15,4
TEMP000077,10,10,5,7,16,2
TEMP000078,12,8,7,11,13,1
TEMP000079,19,9,4,10,15,3
TEMP000080,12,14,5,2,17,3
TEMP000081,11,7,7,14,10,3
TEMP000082,16,12,4,7,16,0
TEMP000083,13,10,6,7,15,4
TEMP000084,16,10,3,6,14,3
TEMP000085,12,19,4,7,12,4
TEMP000086,10,9,5,5,18,2
TEMP000087,6,11,7,11,11,2
TEMP000088,18,11,1,7,17,2
TEMP000089,15,8,6,8,15,2
TEMP000090,11,19,3,6,19,2
TEMP000091,14,11,5,3,19,2
TEMP000092,17,11,1,7,19,3
TEMP000093,9,12,3,7,20,1
TEMP000094,4,8,4,10,16,3
TEMP000095,12,14,5,7,15,1
TEMP000096,19,15,3,7,13,2
TEMP000097,12,22,0,8,14,3
TEMP000098,14,12,1,5,16,4
TEMP000099,14,9,6,11,13,3
TEMP000100,18,13,3,10,14,2
TEMP000101,18,12,3,6,19,0
TEMP000102,11,10,5,8,15,1
TEMP000103,12,11,1,8,19,0
TEMP000104,12,16,2,9,15,4
TEMP000105,14,13,3,9,16,1
TEMP000106,21,10,3,6,16,3
TEMP000107,9,6,2,4,13,3
TEMP000108,17,9,1,6,7,2
TEMP000109,12,7,2,5,10,3
TEMP000110,7,7,1,7,10,1
TEMP000111,6,10,3,4,12,1
TEMP000112,5,7,4,8,11,1
TEMP000113,15,6,2,5,8,2
TEMP000114,6,6,4,4,10,3
TEMP000115,11,7,2,2,11,2
TEMP000116,10,4,2,10,6,4
TEMP000117,9,2,3,5,10,2
TEMP000118,12,10,2,5,10,2
TEMP000119,14,6,2,7,7,2
TEMP000120,11,9,4,7,10,0
TEMP000121,7,8,5,7,7,2
TEMP000122,9,8,3,9,9,0
TEMP000123,16,2,4,4,9,3
TEMP000124,6,8,0,4,10,3
TEMP000125,7,6,3,5,13,0
TEMP000126,9,9,4,2,11,2
TEMP000127,11,4,2,9,7,2
TEMP000128,7,7,4,1,15,0
TEMP000129,16,7,2,5,8,2
TEMP000130,9,9,2,5,10,1
TEMP000131,9,7,4,5,7,2
TEMP000132,12,10,3,4,7,2
TEMP000133,13,5,4,3,10,1
TEMP000134,3,11,2,3,11,2
TEMP000135,11,4,0,0,15,2
TEMP000136,5,8,3,7,8,3
TEMP000137,17,13,2,7,9,0
TEMP000138,10,9,0,5,10,3
TEMP000139,23,18,5,9,17,1
TEMP000140,10,5,3,8,7,4
TEMP000141,8,6,3,5,10,1
TEMP000142,3,8,6,7,8,1
TEMP000143,10,4,4,2,11,3
TEMP000144,6,5,4,7,7,2
TEMP000145,9,9,3,1,13,0
TEMP000146,7,8,0,10,12,0
TEMP000147,13,5,1,6,11,1
TEMP000148,8,8,3,5,11,2
TEMP000149,9,2,3,2,13,2
TEMP000150,14,6,3,3,9,3
TEMP000151,10,9,1,5,10,1
TEMP000152,9,2,3,4,11,2
TEMP000153,9,14,1,5,10,0
TEMP000154,17,13,4,4,21,4
TEMP000155,7,10,2,6,10,1
TEMP000156,16,7,2,5,10,2
TEMP000157,15,12,4,15,11,3
TEMP000158,15,7,3,5,11,0
TEMP000159,15,5,2,5,10,2
TEMP000160,9,8,2,12,6,1
TEMP000161,8,11,1,4,10,2
TEMP000162,12,11,3,7,7,2
TEMP000163,8,3,2,6,10,2
TEMP000164,8,10,3,6,6,4
TEMP000165,13,10,2,8,10,1
TEMP000166,11,7,2,4,12,1
TEMP000167,10,16,0,4,10,1
TEMP000168,9,11,2,6,10,1
TEMP000169,6,8,1,10,10,2
TEMP000170,8,4,3,4,9,3
TEMP000171,8,6,3,8,10,2
TEMP000172,8,11,1,4,9,2
TEMP000173,9,12,3,3,9,1
TEMP000174,14,13,1,3,11,0
TEMP000175,4,8,2,5,12,1
TEMP000176,10,4,3,2,12,2
TEMP000177,17,14,5,8,19,3
TEMP000178,10,4,5,8,10,0
TEMP000179,15,8,2,4,8,3
TEMP000180,10,9,2,5,11,1
TEMP000181,10,8,4,8,7,1
TEMP000182,12,4,4,4,10,1
TEMP000183,11,3,3,5,9,2
TEMP000184,4,10,2,4,13,0
TEMP000185,6,10,3,8,8,1
TEMP000186,9,7,3,6,12,1
TEMP000187,8,15,1,5,10,1
TEMP000188,6,2,4,4,13,1
TEMP000189,9,8,1,10,7,2
TEMP000190,509,386,144,298,548,93
TEMP000191,10,4,2,2,14,1
TEMP000192,6,9,1,2,14,0
TEMP000193,10,8,3,7,10,1
TEMP000194,11,8,3,7,11,1
TEMP000195,10,15,2,7,6,3
TEMP000196,11,6,4,4,8,3
TEMP000197,10,5,3,7,11,0
TEMP000198,8,13,4,4,10,1
TEMP000199,16,11,0,3,12,0
TEMP000200,17,9,2,4,8,4
TEMP000201,8,10,1,6,11,1
TEMP000202,4,6,4,3,12,2
TEMP000203,5,10,1,6,13,0
TEMP000204,15,10,1,5,11,0
TEMP000205,14,9,1,9,6,2
TEMP000206,13,10,4,8,6,3
TEMP000207,10,9,4,5,11,0
TEMP000208,13,8,3,9,7,1
TEMP000209,10,6,2,6,10,1
TEMP000210,7,8,1,4,8,4
TEMP000211,11,6,4,5,10,0
TEMP000212,9,5,5,4,13,0
TEMP000213,23,21,10,14,32,13
TEMP000214,47,29,8,23,33,5
TEMP000215,39,35,9,18,34,11
TEMP000216,42,29,9,17,43,4
TEMP000217,31,21,12,19,40,5
TEMP000218,35,20,10,17,36,11
TEMP000219,26,23,12,19,43,5
TEMP000220,28,24,9,10,43,5
TEMP000221,31,31,11,20,40,2
TEMP000222,39,24,11,22,35,4
TEMP000223,36,26,4,18,44,4
TEMP000224,24,34,9,16,43,3
TEMP000225,34,25,10,15,41,6
TEMP000226,40,30,7,18,44,2
TEMP000227,23,21,8,23,38,7
TEMP000228,28,29,11,13,39,7
TEMP000229,49,28,9,24,36,7
TEMP000230,33,17,11,15,46,6
TEMP000231,34,25,8,19,35,8
TEMP000232,32,29,11,19,36,8
TEMP000233,32,34,6,22,39,3
TEMP000234,45,22,8,22,32,8
TEMP000235,41,35,4,21,35,8
TEMP000236,36,36,7,20,33,7
TEMP000237,25,26,11,20,36,11
TEMP000238,26,20,12,16,43,8
TEMP000239,24,26,11,24,35,7
TEMP000240,30,35,8,17,35,9
TEMP000241,29,30,14,25,32,3
TEMP000242,38,25,10,18,43,3
TEMP000243,40,32,9,19,40,4
TEMP000244,30,31,5,18,49,2
TEMP000245,25,21,11,10,42,9
TEMP000246,32,25,11,17,37,9
TEMP000247,31,36,4,16,41,7
TEMP000248,36,28,9,21,38,5
TEMP000249,32,28,12,16,43,6
TEMP000250,38,26,10,19,36,4
TEMP000251,28,21,12,24,32,10
TEMP000252,44,23,7,18,33,8
TEMP000253,35,27,12,16,43,5
TEMP000254,35,24,13,15,38,8
TEMP000255,28,34,9,22,33,7
TEMP000256,25,28,13,16,34,8
TEMP000257,37,25,9,21,34,5
TEMP000258,34,24,6,18,41,9
TEMP000259,34,31,11,17,31,11
TEMP000260,30,38,11,17,37,8
TEMP000261,36,26,11,15,33,10
TEMP000262,27,35,8,20,38,7
TEMP000263,39,34,8,23,33,7
TEMP000264,38,26,7,16,46,4
TEMP000265,27,26,10,13,44,6
TEMP000266,37,38,7,19,38,5
TEMP000267,35,23,10,24,34,7
TEMP000268,44,32,8,9,39,5
TEMP000269,38,28,9,19,38,7
TEMP000270,31,30,10,24,36,4
TEMP000271,34,38,7,14,33,12
TEMP000272,32,35,10,21,34,8
TEMP000273,27,32,11,24,37,6
TEMP000274,44,30,8,19,37,6
TEMP000275,26,25,6,20,37,8
TEMP000276,40,29,9,21,39,5
TEMP000277,26,27,11,24,35,5
TEMP000278,40,20,11,15,44,5
TEMP000279,29,30,7,18,39,9
TEMP000280,34,34,5,16,40,7
TEMP000281,33,35,7,18,39,5
TEMP000282,44,36,10,19,41,3
TEMP000283,21,19,15,20,37,6
TEMP000284,26,24,9,20,37,7
TEMP000285,28,22,9,19,43,4
TEMP000286,26,41,10,15,36,4
TEMP000287,30,29,10,11,42,7
TEMP000288,17,20,12,24,41,6
TEMP000289,23,21,10,22,34,11
TEMP000290,38,27,10,19,41,7
TEMP000291,32,32,8,28,34,3
TEMP000292,26,34,8,18,35,6
TEMP000293,26,31,9,20,38,8
TEMP000294,31,27,4,19,39,9
TEMP000295,22,32,10,19,42,5
TEMP000296,27,35,11,19,36,8
TEMP000297,32,29,9,26,35,8
TEMP000298,31,26,8,18,38,8
TEMP000299,31,23,13,11,39,10
TEMP000300,31,28,6,16,41,10
TEMP000301,22,35,8,15,42,9
TEMP000302,35,32,8,21,36,4
TEMP000303,22,26,12,24,41,3
TEMP000304,30,29,11,16,39,6
TEMP000305,43,30,6,21,37,3
TEMP000306,39,35,12,17,39,4
TEMP000307,31,20,11,20,37,8
TEMP000308,26,28,9,12,41,6
TEMP000309,847,723,245,504,1014,149
TEMP000310,26,35,4,18,33,10
TEMP000311,32,23,11,22,39,4
TEMP000312,31,33,7,22,38,6
TEMP000313,47,28,8,16,38,4
