geo_unit,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
TEMP000001,2,0,3,1,0,2,4,3,3,3,1,4,2,3,1,4,4,1,3,1,3,4,2,1,3,2,1,3,2,0,4,2,0,1,0,0,0,0,0,3,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP000002,8,2,3,3,4,4,2,0,2,2,1,1,2,2,2,1,4,4,4,1,1,2,3,2,2,4,4,1,0,2,1,1,1,2,1,2,1,1,1,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP000003,8,4,8,2,5,2,3,2,2,1,2,4,3,2,4,4,2,3,1,0,3,0,1,1,0,1,4,2,3,2,3,3,0,2,2,0,0,1,0,0,2,0,2,2,0,1,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP000004,4,2,2,2,5,3,2,2,2,3,5,2,2,1,2,2,4,8,0,1,4,1,4,5,3,2,0,2,1,1,2,0,3,0,0,2,1,1,2,0,1,2,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP000005,1,3,3,2,2,4,7,1,1,0,0,5,2,0,4,1,0,1,2,1,4,1,2,2,4,3,1,0,1,4,0,1,0,1,2,0,1,2,0,1,3,1,1,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP000006,2,4,1,0,4,1,5,3,1,3,2,5,3,1,3,1,2,2,3,1,1,1,2,1,1,5,4,0,0,4,2,2,0,1,1,1,2,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,2,0,1,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP000007,2,4,0,3,3,2,5,4,1,3,3,2,4,2,0,1,2,3,0,1,3,2,0,3,3,4,3,5,1,3,1,3,0,0,0,2,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP000008,1,2,1,3,0,3,6,1,6,4,3,4,2,1,1,2,2,0,3,2,0,4,2,2,2,0,3,1,1,3,1,2,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP000009,2,5,3,2,1,3,3,2,6,2,3,2,5,4,3,4,1,1,4,2,4,3,2,2,1,0,3,1,2,0,1,3,3,0,1,0,0,2,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP000010,3,3,1,2,3,2,5,4,2,3,6,1,1,3,1,2,4,3,4,0,3,1,2,3,1,0,3,4,0,1,1,1,1,4,1,2,4,0,0,1,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP000011,3,4,2,4,2,1,7,1,2,1,4,2,0,3,0,3,2,4,3,2,0,1,8,1,0,1,4,2,0,1,0,1,0,1,1,0,0,0,2,1,0,1,4,0,2,0,1,1,0,1,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP000012,4,4,6,8,1,1,2,4,2,5,4,1,3,2,4,2,0,1,3,0,3,2,3,1,2,1,4,0,1,2,1,1,1,1,0,2,0,1,1,1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
