geo_unit,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
TEMP000001,3,5,2,7,5,3,2,3,3,3,5,0,3,2,5,2,0,7,3,1,3,1,3,3,3,1,0,3,2,1,2,2,3,0,2,3,1,0,0,2,2,1,0,0,1,0,3,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP000002,2,1,2,1,1,4,5,2,2,2,4,3,4,2,3,2,2,2,5,0,2,6,3,7,3,5,1,3,1,0,2,4,2,1,2,1,0,0,0,0,0,0,2,2,0,0,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP000003,4,4,1,4,2,1,4,4,3,3,2,3,2,0,5,1,0,2,6,2,4,1,0,3,2,1,2,2,2,2,1,0,1,1,1,0,1,2,2,2,1,0,0,2,1,0,0,1,1,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP000004,3,2,3,5,4,1,5,3,2,4,5,2,2,2,2,0,1,0,2,2,5,0,2,0,2,2,1,1,3,2,1,1,2,2,3,1,0,1,3,2,2,1,1,1,2,0,1,0,0,1,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP000005,2,4,2,2,4,1,1,5,4,1,4,2,7,2,5,6,5,4,3,2,3,3,2,3,1,2,0,3,4,2,1,1,1,1,0,1,1,1,0,3,2,0,2,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP000006,2,0,4,3,3,3,5,5,3,1,6,1,1,3,2,0,1,1,2,4,8,1,1,3,1,1,3,2,3,5,0,2,2,4,1,1,1,0,0,0,2,0,1,1,2,1,0,1,1,1,2,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP000007,1,3,5,4,1,6,5,1,4,2,4,6,3,5,3,2,2,3,2,2,2,2,3,3,6,2,2,5,2,2,3,1,1,1,2,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP000008,6,2,3,5,4,3,5,6,4,6,5,2,0,4,2,3,2,1,1,2,2,2,2,3,0,4,2,5,2,3,2,1,5,1,0,1,3,2,0,1,1,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP000009,6,0,2,5,2,3,6,1,3,3,4,2,2,2,1,3,2,3,2,2,1,1,2,4,4,2,1,2,3,2,3,0,2,1,1,0,2,2,0,1,1,2,0,0,4,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP000010,2,4,2,6,4,2,0,2,1,2,2,2,4,1,1,2,7,2,0,1,3,3,3,2,0,3,2,3,0,4,4,0,1,0,3,2,2,2,0,5,2,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEMP000011,5,4,5,5,1,4,2,3,0,1,5,4,4,0,4,1,3,3,1,1,1,2,1,2,1,5,3,2,1,3,3,0,4,4,4,1,0,0,0,2,1,2,0,0,1,0,2,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
