MBD_Temp_ID,Latitude,Longitude
TEMP000001,51.7009541,-1.2838297
TEMP000002,51.1412847,0.0289339
TEMP000003,51.2070678,-0.2241718
TEMP000004,51.2622896,-0.5496472
TEMP000005,51.2965337,-0.3458581
TEMP000006,51.2811954,-0.0858404
TEMP000007,51.3605993,-0.2174841
TEMP000008,51.314065,-0.0083541
TEMP000009,51.325617,-0.4111776
TEMP000010,51.2435722,-0.2188754
TEMP000011,51.2148402,-0.6359169
TEMP000012,51.3723601,-0.1064526
TEMP000013,51.1827056,-0.7094138
TEMP000014,51.2549814,-0.0548493
TEMP000015,51.3647613,-0.665532
TEMP000016,51.1270269,-0.5019558
TEMP000017,51.411698,-0.306457
TEMP000018,51.2857197,-0.2194619
TEMP000019,51.1757696,-0.016562
TEMP000020,51.4010354,-0.1668342
TEMP000021,51.3805022,-0.3169639
TEMP000022,51.3819388,-0.2612125
TEMP000023,51.2849049,-0.0494418
TEMP000024,51.3753506,-0.4515925
TEMP000025,51.3570954,-0.546963
TEMP000026,51.5340072,-0.0803022
TEMP000027,51.222629,-0.5890463
TEMP000028,51.0995942,-0.7464015
TEMP000029,51.2563231,-0.3739142
TEMP000030,51.2995482,-0.4932909
TEMP000031,51.1996327,-0.0169948
TEMP000032,51.3446342,-0.0615958
TEMP000033,51.2206872,-0.5708866
TEMP000034,51.2134481,-0.5577711
TEMP000035,51.1439179,-0.5362388
TEMP000036,51.3140007,-0.3811111
TEMP000037,51.3621613,-0.1930469
TEMP000038,51.1443851,-0.2971881
TEMP000039,51.4031328,-0.5643017
TEMP000040,51.1995108,-0.5792134
TEMP000041,51.2316507,-0.6636439
TEMP000042,51.2234379,-0.3703032
TEMP000043,51.1073924,-0.507341
TEMP000044,51.507999,-0.2722698
TEMP000045,51.4314715,-0.4592997
TEMP000046,51.4854158,-0.2691184
TEMP000047,51.6113994,-0.2788238
TEMP000048,51.6533755,-0.0816586
TEMP000049,51.5551803,-0.1810444
TEMP000050,51.5741069,-0.3374001
TEMP000051,51.5781338,-0.218053
TEMP000052,51.5825576,-0.1053585
TEMP000053,51.491611,-0.1932707
