geo_unit,0 0 0 2,0 0 2 0,0 0 0 1,0 0 1 0,0 >=1 2 0,1 >=0 2 0,>=2 >=0 2 0,0 >=1 1 0,1 >=0 1 0,>=2 >=0 1 0,1 >=0 >=0 >=0,>=2 >=0 >=0 >=0,0 >=0 0 0,0 0 0 >=3,0 >=0 >=0 >=0
E00004320,14,19,12,14,4,10,18,3,5,1,1,4,0,0,4
E00004321,8,18,12,26,3,12,17,2,3,3,0,2,3,0,6
E00004326,1,15,10,51,2,10,11,2,1,3,0,3,1,0,2
E00004331,4,17,12,28,4,11,8,2,1,1,1,7,0,0,10
E00004332,4,16,6,25,1,11,15,2,1,0,2,0,0,0,3
E00004333,6,37,14,29,5,9,8,5,0,3,0,0,0,0,4
E00004334,8,14,9,29,3,14,13,2,2,1,0,2,0,0,2
E00004335,5,32,11,40,0,8,16,0,4,1,2,0,6,0,10
E00004336,3,40,7,67,0,12,10,5,2,3,1,0,3,0,14
E00004337,3,14,9,20,5,13,16,3,4,3,0,2,2,0,6
E00004338,8,17,10,19,2,15,18,1,0,2,1,0,0,0,10
E00004339,8,25,10,108,3,13,12,3,1,2,1,0,1,0,18
E00004340,1,17,6,38,0,3,6,1,0,0,0,0,5,0,31
E00004341,1,27,7,43,1,8,10,1,4,2,0,0,0,0,6
E00004342,7,17,9,22,1,11,12,5,3,3,1,0,1,0,7
E00004343,2,30,19,40,1,12,12,0,5,0,1,0,0,0,6
E00004344,1,22,9,40,4,14,6,2,2,2,5,0,2,0,19
E00004431,13,21,11,9,5,16,11,1,1,2,2,2,0,0,3
E00004432,5,24,22,35,2,8,19,1,2,3,0,0,0,0,8
E00004433,9,21,13,21,1,13,25,3,6,2,0,1,1,0,7
E00004435,3,22,22,43,0,3,2,7,2,2,1,0,3,0,14
E00004436,5,27,24,35,4,12,23,4,3,1,0,1,0,0,7
E00004437,9,14,8,13,6,13,16,2,5,2,1,1,0,0,5
E00004438,7,10,19,61,3,7,6,0,1,0,0,1,0,0,7
E00004439,10,19,19,17,3,11,25,1,0,0,0,0,0,0,3
E00004440,3,24,17,13,4,15,13,2,5,0,1,1,1,0,5
E00004723,3,6,15,21,6,3,15,3,3,8,4,2,6,1,13
E00004724,1,13,7,44,2,7,6,5,5,6,0,1,7,0,18
E00004725,3,4,5,10,12,7,19,16,8,11,4,3,9,0,10
E00004726,4,13,22,23,7,3,11,7,7,0,2,1,2,1,10
E00004727,0,6,5,29,1,3,8,13,8,10,1,4,3,0,17
E00004728,2,11,6,32,4,5,9,9,7,4,3,4,8,0,15
E00004729,0,8,11,23,7,5,11,8,4,6,2,1,4,0,7
E00004730,1,3,7,16,4,4,11,8,6,3,1,3,0,0,5
E00004731,1,25,11,87,5,12,20,18,12,11,2,8,14,0,28
E00004744,3,15,7,18,6,2,7,15,5,6,4,1,4,0,17
E00004749,1,7,14,37,9,8,18,20,10,5,6,12,17,0,19
E00004751,1,9,40,28,3,1,5,7,5,1,3,0,5,1,9
E00004752,2,17,15,15,15,8,7,12,7,4,2,0,6,0,12
E00004753,3,6,12,24,6,3,13,13,5,6,0,3,8,0,17
E00004754,0,22,9,35,2,5,11,11,10,5,3,0,11,0,13
E00004755,1,3,9,34,2,4,7,5,7,6,1,1,7,0,6
E00004756,1,9,5,23,1,2,11,14,13,10,1,0,3,0,10
E00004757,1,2,10,12,6,8,26,10,7,15,0,4,9,0,8
E00004758,1,1,5,7,3,3,15,17,4,6,2,3,3,0,3
E00004759,2,18,18,41,3,7,9,14,8,11,3,2,1,0,4
E00004760,6,8,5,33,4,3,9,13,6,6,0,0,0,0,4
E00004761,1,4,7,23,4,3,8,6,4,7,0,2,1,0,0
E00004762,7,10,14,25,4,3,9,8,9,3,1,2,0,1,3
E00004763,0,19,12,36,2,4,7,6,3,8,0,0,1,0,5
E00004764,2,6,10,23,3,1,13,8,1,4,0,2,7,0,7
E00004765,0,7,12,29,3,8,7,5,5,4,3,2,5,0,9
E00009906,7,17,9,29,4,13,11,11,1,10,1,8,0,1,11
E00009909,3,27,14,29,3,15,15,10,11,8,24,4,0,0,26
E00009910,2,10,17,30,13,7,13,9,6,5,4,6,0,0,30
E00009911,7,10,9,16,9,7,17,12,5,4,3,2,0,0,14
E00009912,1,12,29,39,1,10,10,6,10,5,2,1,0,0,13
E00009913,0,13,9,30,8,10,6,11,13,5,5,6,0,2,24
E00009914,4,18,7,37,5,13,10,6,7,3,2,0,0,0,23
E00009916,0,19,10,16,7,19,15,14,7,7,2,4,0,0,20
E00009917,4,15,3,36,9,6,12,8,9,10,5,4,0,0,12
E00009918,4,16,10,18,9,20,5,8,4,2,3,1,0,0,19
E00009919,6,23,9,15,5,10,18,12,13,7,8,4,1,0,12
E00009920,0,31,6,39,8,13,8,3,8,5,2,4,0,0,12
E00009921,4,16,12,31,7,8,6,10,7,6,5,3,2,1,32
E00009922,2,9,12,31,10,8,14,13,10,6,8,0,1,1,37
E00009923,2,25,11,32,6,8,14,8,7,7,3,7,1,0,18
E00009925,3,17,4,50,4,10,9,12,4,5,4,2,0,0,20
E00009926,5,20,8,31,3,6,6,11,9,4,10,4,0,0,41
E00009941,5,9,13,32,9,5,7,13,1,6,0,7,1,0,16
E00009943,3,14,9,24,7,11,18,13,8,5,3,4,0,0,29
E00010254,0,16,17,22,11,9,17,13,10,15,5,2,0,0,22
E00010256,1,13,10,38,6,11,14,11,12,5,6,3,1,0,16
E00010257,2,7,11,27,7,6,17,11,8,11,3,2,0,0,7
E00010258,4,16,7,38,5,13,5,5,7,2,2,4,0,0,14
E00010262,2,6,10,21,10,4,13,16,4,9,6,5,0,0,21
E00010263,5,18,9,40,6,11,13,2,4,6,16,3,1,0,21
E00010264,1,3,27,23,7,0,8,20,1,2,4,7,0,0,14
E00010265,2,26,11,63,6,13,25,9,11,9,0,2,0,0,14
E00010266,4,20,5,14,4,10,25,8,5,5,3,6,0,0,23
E00010267,1,13,11,16,8,10,11,6,3,4,4,3,0,0,18
E00010269,5,15,3,26,10,17,17,1,2,5,3,2,0,1,18
E00010273,1,13,11,49,4,5,6,11,10,4,3,4,0,0,12
E00010274,4,20,17,22,4,12,11,10,7,4,2,2,0,0,18
E00010275,1,13,17,34,8,4,10,10,12,3,6,0,0,0,13
E00010276,1,15,7,36,13,7,8,12,17,9,4,3,0,1,21
E00010288,3,8,15,33,7,7,5,17,7,6,1,2,0,0,11
E00010290,2,21,12,34,12,8,8,4,11,9,7,0,1,0,17
E00010291,2,24,12,21,9,9,14,10,3,2,2,5,0,2,19
E00010292,2,21,13,38,8,16,16,8,9,4,5,2,0,1,25
E00010373,1,12,13,36,5,3,7,9,21,6,1,3,1,0,13
E00010374,1,34,28,93,3,5,8,11,13,4,2,1,2,0,26
E00010375,3,14,23,25,4,7,8,13,11,15,2,4,1,0,24
E00010376,1,17,10,45,4,16,10,15,7,8,5,4,1,0,42
E00010377,1,19,3,33,3,8,6,10,7,7,3,5,1,0,47
E00010378,0,12,8,45,4,9,11,15,6,8,3,0,1,0,7
E00010379,2,11,24,28,8,10,2,12,0,5,5,4,0,0,16
E00010380,5,11,8,28,18,13,6,9,7,3,6,8,0,0,30
E00010381,1,12,8,20,5,7,12,10,2,3,1,2,0,0,23
E00010382,4,15,42,31,9,6,2,12,3,2,2,3,0,1,16
E00010383,2,27,7,48,3,10,15,12,17,21,2,4,1,0,8
E00010385,0,18,5,49,5,6,5,9,8,1,0,4,0,0,18
E00010386,1,30,17,44,6,9,14,7,8,9,4,1,0,0,19
E00010387,0,24,12,46,7,18,10,8,12,10,3,3,0,1,17
E00010388,3,10,10,37,6,10,13,12,15,16,3,15,2,0,17
E00010389,4,11,6,25,6,8,13,12,5,5,6,4,1,0,27
E00010390,0,5,4,23,9,11,10,18,14,12,6,1,0,0,12
E00010391,0,31,16,22,9,10,18,7,7,2,6,2,0,0,25
E00010392,1,3,11,20,6,8,11,10,10,14,1,3,0,0,16
E00010393,1,6,18,33,4,16,5,10,6,10,3,1,0,0,10
E00010394,3,23,11,30,3,5,7,22,11,5,3,4,0,0,25
E00010395,3,19,5,36,4,9,7,7,9,4,3,8,1,0,30
E00010396,10,17,23,36,2,4,7,9,6,8,2,0,0,0,9
E00010397,2,7,8,46,8,14,1,3,5,6,0,4,0,0,19
E00010398,0,13,15,29,2,9,4,16,5,6,0,4,2,0,18
E00010399,6,20,13,17,7,11,11,9,7,5,9,5,0,0,25
E00010400,2,7,7,28,10,8,6,26,3,12,7,6,0,0,11
E00010401,0,23,5,24,4,8,10,14,12,12,2,1,0,0,8
E00010402,0,12,7,24,5,6,11,11,6,2,5,4,0,0,38
E00010403,5,16,25,51,2,6,6,5,5,9,1,1,0,0,11
E00010404,0,20,8,30,10,2,17,20,11,9,0,1,1,0,11
E00010406,2,23,10,47,9,7,6,13,7,7,4,2,0,0,20
E00010407,4,15,30,27,9,6,1,6,4,8,3,2,0,0,11
E00010409,5,20,18,32,9,14,10,19,12,7,11,5,0,0,14
E00010410,1,10,16,39,9,0,2,18,2,6,1,3,0,0,9
E00010412,6,18,6,38,6,9,16,12,6,2,3,6,0,0,22
E00010413,3,13,36,30,5,3,10,10,5,0,1,2,0,0,13
E00010414,2,15,10,40,3,5,17,7,7,5,4,1,0,0,19
E00010457,3,15,11,23,4,7,4,2,7,1,9,2,0,0,25
E00010459,5,13,15,39,11,15,13,9,6,1,9,9,1,0,21
E00010460,0,22,10,62,6,15,5,11,13,9,5,4,0,0,26
E00010461,3,35,4,45,7,24,10,8,5,11,3,0,0,0,20
E00010462,0,31,11,46,2,26,6,5,5,6,3,4,0,0,29
E00010463,2,15,7,89,5,14,8,12,12,5,4,5,1,0,22
E00010474,10,15,14,11,20,6,13,7,8,1,8,2,0,0,8
E00010479,8,10,18,11,10,11,15,2,2,4,9,5,0,0,18
E00010480,4,26,9,31,3,12,6,5,4,4,3,5,0,0,33
E00010481,7,7,12,10,12,7,9,2,2,7,4,5,0,0,20
E00010482,7,21,16,22,5,15,11,7,3,1,10,6,1,0,28
E00010484,4,24,11,20,6,15,18,6,5,4,3,1,0,0,26
E00010486,2,27,7,33,4,15,4,11,8,6,8,6,0,0,29
E00010487,0,17,8,31,2,9,9,6,7,5,1,2,0,0,24
E00010488,4,14,12,33,5,5,17,6,4,7,4,2,0,0,19
E00010489,5,22,6,31,7,16,15,9,4,1,0,0,0,0,28
E00010490,7,17,12,18,2,14,10,5,1,0,7,1,0,1,20
E00010491,4,25,11,36,10,9,20,20,18,17,4,8,0,0,30
E00010493,8,18,19,38,10,18,3,7,7,1,2,1,0,0,11
E00011977,2,9,7,9,15,11,18,8,2,1,9,16,0,0,5
E00011978,5,5,12,15,19,17,20,12,8,9,6,11,0,0,20
E00011979,0,12,9,16,10,8,24,7,4,6,7,5,0,2,6
E00011980,6,15,8,26,22,17,19,10,12,8,10,6,3,0,14
E00012005,2,16,8,10,13,11,24,3,2,7,10,8,0,0,9
E00012007,4,18,31,29,7,6,9,7,8,2,5,5,0,0,3
E00012008,4,11,8,15,13,13,27,6,7,6,5,9,0,0,19
E00012009,5,10,8,17,12,12,15,9,8,5,8,6,0,0,9
E00012010,6,9,9,12,18,12,17,12,4,5,2,12,0,0,11
E00012174,4,14,11,22,11,6,18,7,8,10,1,5,0,0,7
E00012175,0,16,7,29,9,6,14,4,5,8,7,5,0,0,16
E00012177,0,43,6,42,6,23,14,5,4,3,6,6,0,0,28
E00012179,0,12,9,42,4,8,5,2,7,1,0,0,1,0,9
E00012181,4,22,15,14,11,11,26,8,9,7,6,6,0,0,17
E00012183,2,9,13,14,8,6,18,8,4,5,12,10,0,0,18
E00012184,13,19,18,12,10,1,14,7,2,4,7,7,0,0,13
E00012185,8,19,15,23,8,10,12,5,5,8,5,4,0,0,11
E00012188,5,19,8,21,21,7,13,6,3,7,8,10,0,1,26
E00012190,3,22,9,29,5,18,14,6,13,4,4,9,1,0,6
E00012191,5,10,2,9,12,10,16,10,0,4,15,10,0,0,18
E00012194,1,33,6,37,6,15,19,9,6,1,5,4,0,0,16
E00012198,1,8,8,15,13,10,8,11,5,9,6,4,0,0,16
E00012202,5,25,12,43,7,9,16,4,0,2,8,5,0,0,17
E00012203,9,13,15,24,16,22,20,5,3,4,8,4,0,0,11
E00012204,2,6,19,20,6,12,17,8,7,8,4,0,0,0,6
E00012205,10,9,12,14,8,8,19,4,3,1,1,6,0,1,15
E00012206,5,15,12,8,19,9,12,11,2,1,3,11,0,0,10
E00012207,4,5,3,21,8,8,26,7,8,21,4,8,0,0,10
E00012208,0,6,3,18,4,9,16,7,14,19,2,2,0,0,3
E00012456,0,2,7,2,12,11,20,12,2,6,6,15,0,0,17
E00012457,8,5,5,9,17,6,14,16,3,6,8,16,0,0,16
